iter	Passed	Remaining
974	28881	267340
975	28909	267295
976	28936	267243
977	28964	267196
978	28991	267139
979	29018	267088
980	29050	267076
981	29085	267101
982	29122	267138
983	29153	267125
984	29187	267130
985	29218	267112
986	29247	267076
987	29274	267028
988	29304	267003
989	29335	266980
990	29367	266973
991	29399	266964
992	29428	266934
993	29460	266918
994	29487	266868
995	29517	266842
996	29546	266804
997	29574	266766
998	29605	266743
999	29635	266721
1000	29664	266685
1001	29693	266647
1002	29721	266604
1003	29751	266582
1004	29782	266563
1005	29812	266535
1006	29839	266477
1007	29867	266439
1008	29898	266421
1009	29926	266371
1010	29953	266319
1011	29980	266271
1012	30010	266239
1013	30037	266193
1014	30065	266150
1015	30093	266100
1016	30119	266037
1017	30146	265989
1018	30173	265933
1019	30200	265886
1020	30227	265832
1021	30256	265797
1022	30284	265752
1023	30311	265697
1024	30341	265676
1025	30371	265647
1026	30403	265636
1027	30433	265609
1028	30462	265574
1029	30490	265534
1030	30520	265504
1031	30549	265470
1032	30585	265499
1033	30620	265513
1034	30651	265496
1035	30680	265463
1036	30708	265421
1037	30736	265378
1038	30763	265325
1039	30791	265281
1040	30820	265246
1041	30848	265200
1042	30875	265147
1043	30901	265090
1044	30929	265045
1045	30957	265003
1046	30985	264958
1047	31014	264929
1048	31041	264877
1049	31071	264846
1050	31102	264833
1051	31133	264808
1052	31161	264767
1053	31190	264736
1054	31220	264707
1055	31249	264677
1056	31275	264616
1057	31304	264583
1058	31332	264538
1059	31360	264496
1060	31387	264442
1061	31416	264405
1062	31446	264377
1063	31473	264325
1064	31502	264294
1065	31530	264252
1066	31557	264197
1067	31584	264147
1068	31610	264089
1069	31638	264050
1070	31665	263997
1071	31693	263954
1072	31721	263911
1073	31749	263873
1074	31778	263838
1075	31807	263800
1076	31835	263758
1077	31863	263716
1078	31891	263670
1079	31918	263621
1080	31946	263584
1081	31974	263539
1082	32001	263489
1083	32030	263451
1084	32059	263417
1085	32087	263376
1086	32114	263326
1087	32141	263277
1088	32170	263245
1089	32201	263222
1090	32227	263162
1091	32255	263120
1092	32282	263073
1093	32309	263020
1094	32335	262965
1095	32363	262924
1096	32389	262869
1097	32418	262832
1098	32447	262794
1099	32477	262775
1100	32504	262726
1101	32535	262701
1102	32562	262654
1103	32591	262621
1104	32620	262587
1105	32647	262541
1106	32676	262502
1107	32705	262470
1108	32733	262430
1109	32761	262384
1110	32789	262343
