iter	RMSE
467	7.853580848
468	7.853453583
469	7.853298616
470	7.853145684
471	7.852974692
472	7.852837741
473	7.85268894
474	7.852528013
475	7.852410878
476	7.852238337
477	7.852099185
478	7.851943387
479	7.851752921
480	7.851600064
481	7.851449335
482	7.851316818
483	7.851146162
484	7.851002095
485	7.850858923
486	7.850683651
487	7.850528725
488	7.850375667
489	7.850225653
490	7.850070595
491	7.849931147
492	7.849779132
493	7.849646147
494	7.849480632
495	7.849318183
496	7.849204592
497	7.849074899
498	7.848914186
499	7.848784672
500	7.848622952
501	7.848496793
502	7.848351964
503	7.848204833
504	7.848063139
505	7.847920716
506	7.847743957
507	7.847572211
508	7.847434509
509	7.847265654
510	7.847110322
511	7.846943988
512	7.846798202
513	7.846644032
514	7.846497044
515	7.846359701
516	7.84618691
517	7.845992083
518	7.845830273
519	7.845678758
520	7.845535585
521	7.845387402
522	7.845227655
523	7.845053263
524	7.844929486
525	7.844792306
526	7.844660747
527	7.844489896
528	7.84432025
529	7.844166052
530	7.844006708
531	7.84386493
532	7.843722218
533	7.843563326
534	7.84341718
535	7.843275975
536	7.843133742
537	7.843007994
538	7.842853584
539	7.842678241
540	7.842572781
541	7.842408038
542	7.842277702
543	7.842095529
544	7.84191664
545	7.841767655
546	7.841648952
547	7.841490448
548	7.841329062
549	7.841175713
550	7.84106056
551	7.840908565
552	7.840781616
553	7.840651451
554	7.840457797
555	7.840302211
556	7.84017707
557	7.840028373
558	7.839911467
559	7.839768012
560	7.83963687
561	7.839447249
562	7.839302141
563	7.839149913
564	7.838982191
565	7.83882627
566	7.838672975
567	7.83851797
568	7.838382475
569	7.838253841
570	7.838146357
571	7.837998925
572	7.837884204
573	7.837745713
574	7.837597099
575	7.837424303
576	7.837263803
577	7.837116684
578	7.836944138
579	7.836781124
580	7.836650883
581	7.836476629
582	7.836337764
583	7.836183202
584	7.836045456
585	7.835916235
586	7.835771622
587	7.835630667
588	7.835525181
589	7.835415852
590	7.835266517
591	7.835096221
592	7.834973222
593	7.834849725
594	7.834724947
595	7.834603244
596	7.834476948
597	7.834306865
598	7.834137505
599	7.833977841
600	7.833844256
601	7.833726238
602	7.833571171
603	7.833448072
604	7.833318316
605	7.833167582
606	7.833050786
607	7.832888959
608	7.83275778
609	7.832600424
610	7.832449726
611	7.832293326
612	7.832153304
613	7.832025253
614	7.831888128
615	7.831744146
616	7.831613843
617	7.831498033
618	7.831377825
619	7.831238189
620	7.831075317
621	7.830926558
622	7.830755139
623	7.830607095
624	7.830481606
625	7.830321943
626	7.83019689
627	7.830035419
628	7.829903215
629	7.829769361
630	7.829647387
631	7.829547696
632	7.82942332
633	7.829295105
634	7.829134524
635	7.828982844
636	7.828847295
637	7.828712774
638	7.828582041
639	7.828460164
640	7.828309124
641	7.828170712
642	7.828046859
643	7.82793185
644	7.82777834
645	7.827663818
646	7.827525927
647	7.827386933
648	7.82726825
649	7.827143213
650	7.826981548
651	7.826864706
652	7.8266976
653	7.826546048
654	7.826403585
655	7.826235037
656	7.826091607
657	7.825949224
658	7.825802376
659	7.825673346
660	7.8255186
661	7.82537058
662	7.825236994
663	7.825067609
664	7.824928347
665	7.824787245
666	7.824660016
667	7.824539597
668	7.824406088
669	7.824276159
670	7.824144909
671	7.824012344
672	7.823866074
673	7.823711806
674	7.823574019
675	7.823407292
676	7.823283123
677	7.823196255
678	7.823069402
679	7.822943848
680	7.822836413
681	7.822704195
682	7.822594313
683	7.822441323
684	7.822277862
685	7.822136236
686	7.821980399
687	7.821826904
688	7.821683622
689	7.821556998
690	7.821449969
691	7.821329066
692	7.821209299
693	7.821045849
694	7.820921944
695	7.820767041
696	7.820625758
697	7.820521672
698	7.820375387
699	7.820208958
700	7.820071088
701	7.819927262
702	7.81978477
703	7.819655201
704	7.819525475
705	7.819448375
706	7.819281491
707	7.819172529
708	7.819043815
709	7.81889239
710	7.81876386
711	7.818644435
712	7.818502361
713	7.818361857
714	7.818263268
715	7.81810205
716	7.817944993
717	7.817817947
718	7.817692021
719	7.817557739
720	7.817427662
721	7.81727619
722	7.817106262
723	7.816954193
724	7.816833862
725	7.816663152
726	7.816536845
727	7.816423166
728	7.816279766
729	7.816147428
730	7.815996935
731	7.815840806
732	7.815693373
733	7.815562618
734	7.81543593
735	7.815273189
736	7.815172325
737	7.815019287
738	7.814900142
739	7.814776375
740	7.814612595
741	7.814494455
742	7.814375857
743	7.814232812
744	7.814094524
745	7.81395336
746	7.813824889
747	7.81370292
748	7.813586173
749	7.813449537
750	7.81334783
751	7.81319924
752	7.813045976
753	7.812925203
754	7.812787923
755	7.812644632
756	7.812495758
757	7.812364386
758	7.812224321
759	7.812067147
760	7.811955148
761	7.811808245
762	7.811675279
763	7.811522471
764	7.811376798
765	7.811262293
766	7.811120203
767	7.810987033
768	7.810883017
769	7.81075605
770	7.810638517
771	7.810485549
772	7.810368716
773	7.810222409
774	7.810077393
775	7.809929582
776	7.809819083
777	7.809680618
778	7.809571602
779	7.809434617
780	7.809315353
781	7.809154153
782	7.80901438
783	7.808828247
784	7.808709674
785	7.808588862
786	7.808464448
787	7.808341908
788	7.808182891
789	7.808056858
790	7.807928928
791	7.807771834
792	7.807643907
793	7.807522379
794	7.807417667
795	7.807312254
796	7.807146364
797	7.807016182
798	7.806902602
799	7.806767867
800	7.806640329
801	7.806516831
802	7.806379497
803	7.806224687
804	7.806101508
805	7.805955689
806	7.805847677
807	7.805715958
808	7.805595076
809	7.80546301
810	7.805333496
811	7.80520765
812	7.80505986
813	7.804949469
814	7.804821558
815	7.804694307
816	7.804591193
817	7.804468757
818	7.804372684
819	7.804231903
820	7.804070516
821	7.803927375
822	7.803814494
823	7.80366558
824	7.803547908
825	7.803431912
826	7.80330238
827	7.803156613
828	7.803059748
829	7.802927344
830	7.802805247
831	7.802672609
832	7.802531774
833	7.802362108
834	7.802234187
835	7.80209729
836	7.801987908
837	7.801897161
838	7.801770032
839	7.801627082
840	7.801502237
841	7.801397329
842	7.801260947
843	7.801145223
844	7.801004439
845	7.800836695
846	7.800698619
847	7.800543159
848	7.800389046
849	7.800262012
850	7.800136088
851	7.799974272
852	7.799846399
853	7.799693628
854	7.799589449
855	7.799450216
856	7.799312337
857	7.799199303
858	7.799070325
859	7.798947857
860	7.798810153
861	7.798705655
862	7.798586753
863	7.798453034
864	7.79829114
865	7.798162966
866	7.798024974
